id,detected_at,status,severity,area,feature,summary,steps_to_reproduce,expected_result,actual_result,console_errors,url,app_state,notes
BUG-0011,2026-05-26T10:55:00+02:00,fixed,medium,release-qa,model-assertions,Release QA model assertions accepted any provider that displayed gpt-5.5,"1. Configure a non-litellm provider that exposes a gpt-5.5 label 2. Run release or reliability smokes without CHATON_EXPECTED_MODEL 3. The UI assertion can pass on the compact model id even if the provider is not litellm",Release QA should default to the exact production model key litellm/gpt-5.5 while still tolerating compact UI labels in Electron smoke,"Updated DMG, mac release, and reliability smoke defaults to litellm/gpt-5.5. The Electron smoke checks both the full key and compact suffix, so provider-qualified defaults remain compatible with the UI.",none,n/a,"npm run qa:dmg-smoke:self-test:env; npm run qa:release-smoke:mac:self-test:env; npm run qa:reliability-smoke:self-test:env","Keep release defaults provider-qualified so QA proves the intended LiteLLM route, not just a matching display label."
BUG-0012,2026-05-26T11:10:00+02:00,fixed,medium,release-qa,prod-ready-smoke,Prod-ready env isolation self-test did not cover the build output smoke step,"1. Export CHATON_EXPECTED_MODEL=litellm/custom and CHATON_QA_TEMP_ROOT=/tmp/qa-leak 2. Run npm run qa:prod-ready-smoke:self-test:env 3. The self-test can pass without proving the build output smoke step receives a clean environment",Every prod-ready child step added to the build gate should be covered by the env-isolation self-test,"Extended scripts/qa/prod-ready-smoke.mjs env-isolation self-test to assert production build and build output smoke do not inherit unrelated electron, DMG, model, or temp-root QA variables.",none,n/a,"CHATON_EXPECTED_MODEL=litellm/custom CHATON_QA_TEMP_ROOT=/tmp/qa-leak CHATON_ELECTRON_SMOKE_PROMPT=leak CHATON_DMG_SMOKE_DRY_RUN=1 npm run qa:prod-ready-smoke:self-test:env",Keep env-isolation assertions in lockstep with new prod-ready child steps.
BUG-0013,2026-05-26T11:30:00+02:00,fixed,medium,release-qa,qa-manifest,QA scripts could be added without a package.json alias or package aliases could point at missing smoke files,"1. Add scripts/qa/new-smoke.mjs without adding a qa:* package script 2. Or rename a scripts/qa file without updating package.json 3. Reliability smoke does not detect the missing entrypoint contract",Every scripts/qa/*.mjs smoke should be exposed through package.json and every qa:* alias should reference one existing smoke entrypoint,"Added scripts/qa/qa-manifest-smoke.mjs, exposed it as qa:manifest-smoke, and integrated it into reliability-smoke before the other QA contracts.",none,n/a,"npm run qa:manifest-smoke; npm run qa:reliability-smoke:release",Keep manifest coverage in the reliability gate so QA harness drift fails early.
BUG-0014,2026-05-26T11:48:00+02:00,fixed,high,release-qa,prod-ready-smoke,Prod-ready smoke could inherit CHATON_RELIABILITY_SMOKE_SELF_TEST and skip the real reliability gate,"1. Export CHATON_RELIABILITY_SMOKE_SELF_TEST=env-isolation 2. Run npm run qa:prod-ready-smoke:release:build 3. The reliability step can execute only the env-isolation self-test instead of the full reliability smoke",Prod-ready must clear reliability-smoke control flags and forward only the explicit release metadata flag when requested,"Added CHATON_RELIABILITY_SMOKE_SELF_TEST and CHATON_RELIABILITY_SMOKE_INCLUDE_RELEASE to the prod-ready inherited QA env clear list, and extended the prod-ready env-isolation self-test to assert the reliability self-test flag is absent from the child environment.",none,n/a,"CHATON_RELIABILITY_SMOKE_SELF_TEST=env-isolation npm run qa:prod-ready-smoke:self-test:env; CHATON_RELIABILITY_SMOKE_SELF_TEST=env-isolation npm run qa:prod-ready-smoke:release:build:dry-run",Keep parent-shell self-test flags out of release gates unless the parent explicitly runs that self-test script.
BUG-0015,2026-05-26T12:06:00+02:00,fixed,medium,release-qa,prod-ready-smoke,Prod-ready smoke resolved internal Node QA steps through PATH,"1. Put a different node executable earlier on PATH 2. Run npm run qa:prod-ready-smoke:release:build 3. Internal Node-only QA steps can execute under a different runtime than the parent prod-ready script",Prod-ready should run internal Node smoke scripts with the same Node executable that launched prod-ready-smoke,"Changed prod-ready internal Node steps to use process.execPath for reliability smoke, build output smoke, and QA hygiene. The build self-test now asserts those steps use the current Node executable.",none,n/a,"npm run qa:prod-ready-smoke:self-test:build; npm run qa:prod-ready-smoke:release:build:dry-run",Keep direct Node child steps on process.execPath; npm/npx build and test steps remain package-manager entrypoints.
BUG-0016,2026-05-26T12:24:00+02:00,fixed,high,release-qa,release-metadata-smoke,Release gates could inherit CHATON_RELEASE_DIR and validate metadata from outside the repo,"1. Export CHATON_RELEASE_DIR=/tmp/old-release 2. Run npm run qa:reliability-smoke:release or npm run qa:release-smoke:mac:self-test:env 3. Release metadata checks can target the override instead of the repository release directory",Release orchestrators should ignore parent release-directory overrides unless a specific smoke script is invoked directly with that override,"Cleared CHATON_RELEASE_DIR alongside CHATON_RELEASE_METADATA_PATH in prod-ready, reliability, and mac release smoke child environments. Added env-isolation assertions that release metadata steps do not inherit either override.",none,n/a,"CHATON_RELEASE_DIR=/tmp/bad-release CHATON_RELEASE_METADATA_PATH=/tmp/bad-release/latest-mac.yml npm run qa:prod-ready-smoke:self-test:env; same env with npm run qa:reliability-smoke:self-test:env and npm run qa:release-smoke:mac:self-test:env","Keep release metadata overrides available only for direct release-metadata-smoke debugging, not inherited release gates."
BUG-0017,2026-05-26T12:42:00+02:00,fixed,high,release-qa,mac-release-smoke,Mac release smoke child DMG steps could inherit DMG dry-run or self-test flags,"1. Export CHATON_DMG_SMOKE_DRY_RUN=1 or CHATON_DMG_SMOKE_SELF_TEST=env 2. Run npm run qa:release-smoke:mac:full 3. DMG child steps can skip mounting and app launch by running dry-run or self-test behavior",Mac release smoke should own every DMG child scenario and clear parent DMG control flags unless it explicitly sets one for that scenario,"Cleared CHATON_DMG_SMOKE_DMG_PATH, CHATON_DMG_SMOKE_DRY_RUN, and CHATON_DMG_SMOKE_SELF_TEST in mac-release-smoke child environments. The env-isolation self-test now asserts mounted and installed-copy startup steps do not inherit those flags.",none,n/a,"CHATON_DMG_SMOKE_DRY_RUN=1 CHATON_DMG_SMOKE_SELF_TEST=env CHATON_DMG_SMOKE_DMG_PATH=/tmp/fake.dmg npm run qa:release-smoke:mac:self-test:env; same env with npm run qa:release-smoke:mac:full:dry-run",Keep parent DMG flags out of mac release orchestrator child steps unless the mac release script sets them intentionally.
BUG-0018,2026-05-26T13:02:00+02:00,fixed,medium,release-qa,build-output-smoke,Build output smoke did not verify generated HTML asset references,"1. Produce dist/index.html or a built-in extension react-index.html that references a missing hashed asset 2. Leave another JS asset in the assets directory 3. Run npm run qa:build-output-smoke",Build output smoke should fail if any generated HTML points at a missing local asset even when other assets exist,"build-output-smoke now parses local ./assets references from dist/index.html and built-in extension react-index.html files, then asserts every referenced asset exists and is non-empty.",none,n/a,"npm run qa:build-output-smoke; npm run qa:prod-ready-smoke:self-test:build",Keep HTML reference integrity checks in the artifact smoke so broken copy/build outputs fail before packaging.
BUG-0019,2026-05-26T13:20:00+02:00,fixed,high,release-qa,dmg-smoke,DMG smoke could pass inherited Electron self-test or prompt flags to the packaged app smoke,"1. Export CHATON_ELECTRON_SMOKE_SELF_TEST=sqlite-snapshot or CHATON_ELECTRON_SMOKE_PROMPT=leak 2. Run npm run qa:dmg-smoke or a mac release smoke that delegates to dmg-smoke 3. The child electron-smoke can run a self-test or unexpected prompt scenario instead of the intended packaged app startup smoke",DMG smoke should own the Electron child scenario and clear inherited Electron prompt/self-test controls unless it explicitly sets them,"dmg-smoke now clears inherited CHATON_ELECTRON_SMOKE_SELF_TEST, prompt, expected-reply, reply-mode, and prompt-timeout flags before spawning electron-smoke. Its env self-test covers a polluted parent environment.",none,n/a,"CHATON_ELECTRON_SMOKE_SELF_TEST=sqlite-snapshot CHATON_ELECTRON_SMOKE_PROMPT=leak CHATON_ELECTRON_SMOKE_EXPECTED_REPLY=leak npm run qa:dmg-smoke:self-test:env; same env with npm run qa:dmg-smoke:dry-run","Keep prompt/self-test Electron controls in the orchestrator scenario, not inherited from the caller shell."
BUG-0020,2026-05-26T13:38:00+02:00,fixed,medium,release-qa,dmg-smoke,DMG smoke delegated packaged app launch through npm script resolution,"1. Put an unexpected npm earlier on PATH or change the qa:electron-smoke:app package alias 2. Run npm run qa:dmg-smoke 3. The DMG smoke depends on npm/package-script resolution instead of directly invoking the checked-in smoke script",DMG smoke should invoke the Electron smoke script with the current Node executable and set app mode explicitly,"dmg-smoke now spawns process.execPath scripts/qa/electron-smoke.mjs directly and injects CHATON_ELECTRON_SMOKE_MODE=app in the child environment. Its env self-test asserts app mode is present.",none,n/a,"npm run qa:dmg-smoke:self-test:env; npm run qa:dmg-smoke:dry-run; npm run qa:reliability-smoke:release",Keep direct QA child execution deterministic; package aliases remain user-facing entrypoints rather than internal release-gate dependencies.
BUG-0021,2026-05-26T13:56:00+02:00,fixed,high,release-qa,dmg-smoke,DMG smoke prompt sanitization broke orchestrated mac release prompt smoke,"1. Run npm run qa:release-smoke:mac:full or inspect its dry-run 2. The installed-copy DMG prompt smoke sets CHATON_ELECTRON_SMOKE_PROMPT and expected reply 3. dmg-smoke clears those prompt variables before spawning electron-smoke","Inherited prompt variables should be blocked by default, but orchestrated release prompt scenarios need an explicit allow path","Added CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT as an internal allow flag. dmg-smoke forwards prompt, expected reply, reply mode, and timeout only when this flag is set, while still never forwarding electron self-test. mac-release-smoke sets the flag only for its prompt scenario.",none,n/a,"npm run qa:dmg-smoke:self-test:env; npm run qa:release-smoke:mac:self-test:env; npm run qa:release-smoke:mac:full:dry-run",Keep inherited prompts blocked by default and require an explicit DMG orchestrator allow flag for intentional prompt scenarios.
BUG-0022,2026-05-26T14:20:00+02:00,fixed,high,desktop-automation,electron-smoke,Dev Electron smoke tried to drive a chrome-error page when the Vite renderer server was not running,"1. Ensure port 5173 is not listening 2. Run CHATON_EXPECTED_MODEL=litellm/gpt-5.5 CHATON_ELECTRON_SMOKE_PROMPT=... npm run qa:electron-smoke:dev 3. Observe the harness attempts to find workspace UI controls on chrome-error://chromewebdata/",Dev-mode Electron smoke should fail before launch with a clear renderer-server prerequisite or drive the loaded Chatons UI only,"electron-smoke now checks the dev renderer URL before launching Electron, reports page diagnostics for failed UI clicks, and can switch back to workspace mode before starting prompt flows.",none,chrome-error://chromewebdata/,"npm run qa:electron-smoke:dev without dev:renderer previously failed while clicking the workspace switcher; with dev:renderer running the litellm/gpt-5.5 prompt smoke returned CHATON_GPT55_OK",Keep dev-mode smoke prerequisites explicit; use file or app mode when no renderer server should be required.
BUG-0023,2026-05-26T14:38:00+02:00,fixed,medium,desktop-automation,electron-smoke,Dev renderer preflight fix had no direct regression self-test,"1. Break or remove the dev-server preflight in scripts/qa/electron-smoke.mjs 2. Run npm run qa:reliability-smoke:release 3. The reliability gate can still pass without proving missing renderer servers fail before Electron launch",Reliability smoke should include a fast self-test that proves dev-mode Electron smoke reports a clear missing renderer server and accepts an HTTP-ready renderer URL,"Added CHATON_ELECTRON_SMOKE_SELF_TEST=dev-server-preflight, exposed qa:electron-smoke:self-test:dev-server, and integrated the self-test into reliability-smoke with env-isolation assertions.",none,n/a,"npm run qa:electron-smoke:self-test:dev-server; npm run qa:reliability-smoke:self-test:env; npm run qa:reliability-smoke:release",Keep every harness-level production bug fix backed by a cheap self-test so reliability-smoke proves the contract continuously.
BUG-0024,2026-05-26T14:55:00+02:00,fixed,medium,release-qa,hygiene-smoke,QA hygiene parsing and temp-leak detection had no fixture self-test,"1. Change the ps parser or temp leak prefix filters in scripts/qa/hygiene-smoke.mjs 2. Run npm run qa:reliability-smoke:release on a clean machine 3. The gate may still pass without proving it would detect representative Chatons process or temp leaks","The final hygiene gate should have a deterministic fixture test proving process matching, self-process exclusion, and temp directory leak detection","Added CHATON_QA_HYGIENE_SELF_TEST=fixtures, exposed qa:hygiene-smoke:self-test:fixtures, and integrated the fixture self-test into reliability-smoke with env-isolation assertions.",none,n/a,"npm run qa:hygiene-smoke:self-test:fixtures; npm run qa:reliability-smoke:self-test:env; npm run qa:reliability-smoke:release",Keep hygiene detection contracts covered by fixtures so a clean environment is not mistaken for proof that leak detection still works.
BUG-0025,2026-05-26T15:08:00+02:00,fixed,high,release-qa,prod-ready-smoke,Prod-ready final hygiene step could inherit CHATON_QA_HYGIENE_SELF_TEST,"1. Export CHATON_QA_HYGIENE_SELF_TEST=fixtures 2. Run npm run qa:prod-ready-smoke:release:build 3. The final QA hygiene step can run the fixture self-test instead of checking real leftover processes and temp dirs",Prod-ready should clear hygiene self-test control flags from all child steps unless it intentionally runs that self-test,"Added CHATON_QA_HYGIENE_SELF_TEST to prod-ready inherited QA env cleanup, dry-run summaries, and env-isolation assertions for the final QA hygiene step.",none,n/a,"CHATON_QA_HYGIENE_SELF_TEST=fixtures npm run qa:prod-ready-smoke:self-test:env; CHATON_QA_HYGIENE_SELF_TEST=fixtures npm run qa:prod-ready-smoke:release:build:dry-run",Keep every newly introduced QA self-test flag in prod-ready env cleanup so release gates cannot silently replace real checks with self-tests.
BUG-0026,2026-05-26T15:22:00+02:00,fixed,high,release-qa,mac-release-smoke,Mac release non-prompt scenarios could inherit CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT,"1. Export CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT=1 2. Run npm run qa:release-smoke:mac:full:dry-run 3. Observe the allow flag present on metadata, startup, interactive, and blank-userData scenarios instead of only the prompt scenario",Prompt forwarding into DMG electron-smoke should be explicitly owned by the mac-release prompt scenario and blocked everywhere else,"Added CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT to mac-release, reliability, and prod-ready env cleanup; added env-isolation assertions that non-prompt scenarios do not inherit it while the prompt scenario still sets it intentionally.",none,n/a,"CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT=1 npm run qa:release-smoke:mac:self-test:env; CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT=1 npm run qa:release-smoke:mac:full:dry-run; CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT=1 npm run qa:reliability-smoke:self-test:env; CHATON_DMG_SMOKE_ALLOW_ELECTRON_PROMPT=1 npm run qa:prod-ready-smoke:self-test:env",Keep prompt-allow flags local to the scenario that owns prompt forwarding; never inherit them from the caller shell.
BUG-0027,2026-05-26T15:45:00+02:00,fixed,high,release-qa,env-isolation,Release QA dry-runs hid inherited Electron smoke controls such as app path mode expected app version and source userData,"1. Export CHATON_ELECTRON_SMOKE_KEEP_USER_DATA=1 CHATON_SOURCE_USER_DATA_DIR=/tmp/bad-source CHATON_ELECTRON_SMOKE_EXPECT_ONBOARDING=1 CHATON_EXPECTED_APP_VERSION=9.9.9 CHATON_ELECTRON_SMOKE_APP_PATH=/tmp/bad.app CHATON_ELECTRON_SMOKE_MODE=file 2. Run npm run qa:dmg-smoke:dry-run or npm run qa:prod-ready-smoke:release:build:dry-run 3. The summarized env can look clean while the real child env still inherits hidden controls",Release orchestrators should clear every Electron smoke scenario control unless the step explicitly owns that control and dry-run summaries should expose those keys if present,"Expanded DMG mac-release reliability and prod-ready env cleanup to cover app path mode onboarding expectation userData isolation/keep/source expected app version prompt timeout and self-test controls. Dry-run summaries now include those keys and self-tests assert polluted parents cannot alter child scenarios.",none,n/a,"polluted env with npm run qa:dmg-smoke:self-test:env; npm run qa:release-smoke:mac:self-test:env; npm run qa:reliability-smoke:self-test:env; npm run qa:prod-ready-smoke:self-test:env",Keep new QA control variables in orchestrator cleanup and summary key lists so hidden parent-shell state cannot silently change release gate semantics.
BUG-0028,2026-05-26T16:05:00+02:00,fixed,medium,release-qa,release-metadata-smoke,Release metadata smoke parser behavior had no fixture coverage and could be bypassed by inherited self-test flags,"1. Change parseScalarYaml parseNestedSize or blockmap parsing in scripts/qa/release-metadata-smoke.mjs 2. Run npm run qa:reliability-smoke:release 3. The gate can validate the current release artifact without proving the parser still rejects malformed blockmaps or handles quoted scalar metadata 4. Export CHATON_RELEASE_METADATA_SMOKE_SELF_TEST=fixtures before a release gate and the metadata step could become only a fixture run unless orchestrators clear it",Release metadata validation should have deterministic parser/blockmap fixture coverage and release orchestrators should never inherit its self-test control flag,"Added CHATON_RELEASE_METADATA_SMOKE_SELF_TEST=fixtures with quoted scalar nested-size gzip JSON plain JSON and invalid blockmap assertions. Added a package alias integrated into reliability-smoke and cleared/asserted the self-test flag in mac-release reliability and prod-ready orchestrators.",none,n/a,"npm run qa:release-metadata-smoke:self-test:fixtures; polluted env with npm run qa:reliability-smoke:self-test:env; npm run qa:release-smoke:mac:self-test:env; npm run qa:prod-ready-smoke:self-test:env",Keep release metadata parser fixtures in reliability-smoke so artifact checks prove both current files and the parser contract.
BUG-0029,2026-05-26T16:24:00+02:00,fixed,medium,release-qa,build-output-smoke,Build output smoke HTML asset parsing had no isolated fixture coverage and could be altered only against real build outputs,"1. Change getLocalAssetReferences assertReferencedAssetsExist or required asset checks in scripts/qa/build-output-smoke.mjs 2. Run npm run qa:reliability-smoke:release 3. The gate does not prove that missing referenced assets or HTML without local assets are rejected unless a real build happens to contain that failure 4. Export CHATON_BUILD_OUTPUT_SMOKE_SELF_TEST=fixtures before prod-ready build and the build output step could become only a fixture run unless cleared",Build output validation should have deterministic fixture coverage for successful references missing referenced assets and missing local asset references; prod-ready must not inherit build-output self-test controls,"Added CHATON_BUILD_OUTPUT_SMOKE_SELF_TEST=fixtures with an isolated generated fixture tree covering renderer and built-in extension assets plus negative missing-asset and no-reference cases. Added a package alias, integrated it into reliability-smoke, and cleared/asserted build-output self-test/root controls in reliability and prod-ready env isolation.",none,n/a,"npm run qa:build-output-smoke:self-test:fixtures; polluted env with npm run qa:reliability-smoke:self-test:env and npm run qa:prod-ready-smoke:self-test:env",Keep build-output fixture coverage in reliability-smoke and keep prod-ready build-output checks pointed at real build artifacts only.
BUG-0030,2026-05-26T16:43:00+02:00,fixed,medium,release-qa,bug-log-smoke,Bug log CSV parsing and invariant checks had no fixture coverage and could be bypassed by inherited self-test/path flags,"1. Change parseCsv validateBugLogText duplicate-id or sequential-id logic in scripts/qa/bug-log-smoke.mjs 2. Run npm run qa:reliability-smoke:release 3. The gate validates the current bug log but does not prove quoted fields duplicate ids id gaps bad status bad severity or unterminated quotes are handled 4. Export CHATON_BUG_LOG_SMOKE_SELF_TEST=fixtures or CHATON_BUG_LOG_PATH=/tmp/bad before a release gate and the bug-log step could use the wrong mode or file unless cleared",Bug log validation should have deterministic fixture coverage for CSV quoting and negative invariants while release orchestrators keep the real bug log contract pointed at qa/ui-bug-log.csv,"Added CHATON_BUG_LOG_SMOKE_SELF_TEST=fixtures with quoted comma quote newline fields plus duplicate id id gap bad status bad severity and unterminated quote cases. Added a package alias, integrated it into reliability-smoke, and cleared/asserted bug-log self-test/path controls in reliability and prod-ready env isolation.",none,n/a,"npm run qa:bug-log-smoke:self-test:fixtures; polluted env with npm run qa:reliability-smoke:self-test:env and npm run qa:prod-ready-smoke:self-test:env; npm run qa:bug-log-smoke",Keep bug-log fixture coverage in reliability-smoke before the real bug log contract so parser regressions and actual log regressions are both checked.
